	NCT Number	Title	Locations	Status	Study Results	Conditions	Gender	Age	Phases	Enrollment	URL	Location_Country	Location_City_or_State	Location_Institution	Start Date	Completion Date	First Posted	Last Update Posted	Funded Bys	Study Type	Trial_Duration_Days	Trial_Duration_Months	Trial_Duration_Category	Enrollment_Category
322	NCT04415151	TOFACITINIB FOR TREATMENT OF MODERATE COVID-19	YALE NEW HAVEN HEALTH SYSTEM, NEW HAVEN, CONNECTICUT, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	60.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04415151	UNITED STATES OF AMERICA	CONNECTICUT	YALE NEW HAVEN HEALTH SYSTEM	2020-07-01	2021-03-01	2020-06-01	2020-10-01	OTHER	INTERVENTIONAL	243.0	8.0	7 - 12 months	51 - 100
323	NCT04338347	CAP-1002 IN SEVERE COVID-19 DISEASE	CEDARS-SINAI MEDICAL CENTER, LOS ANGELES, CALIFORNIA, UNITED STATES	AVAILABLE	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT			HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04338347	UNITED STATES OF AMERICA	CALIFORNIA	CEDARS-SINAI MEDICAL CENTER			2020-04-01	2020-10-01	INDUSTRY	EXPANDED ACCESS				
324	NCT04384900	ACCELERATED PRONE POSITION VENTILATION OF PATIENTS WITH COVID-19	NORDSJÆLLANDS HOSPITAL, HILLERØD, REGION HOVEDSTANDEN, DENMARK	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	150.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04384900	DENMARK	REGION HOVEDSTANDEN	NORDSJÆLLANDS HOSPITAL	2020-05-01	2020-12-01	2020-05-01	2020-05-01	OTHER	INTERVENTIONAL	214.0	7.0	7 - 12 months	101 - 200
325	NCT04356690	ETOPOSIDE IN PATIENTS WITH COVID-19 INFECTION	BOSTON MEDICAL CENTER, BOSTON, MASSACHUSETTS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	64.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04356690	UNITED STATES OF AMERICA	MASSACHUSETTS	BOSTON MEDICAL CENTER	2020-05-01	2021-12-01	2020-04-01	2020-09-01	OTHER	INTERVENTIONAL	579.0	19.0	1 - 2 years	51 - 100
326	NCT04468087	ANTIVIRAL AGENTS AGAINST COVID-19 INFECTION	HOSPITAL DO CORACAO, SAO PAULO, SP, BRAZIL	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	1134.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04468087	BRAZIL	SP	HOSPITAL DO CORACAO	2020-10-01	2021-12-01	2020-07-01	2020-09-01	OTHER	INTERVENTIONAL	426.0	14.0	1 - 2 years	1001 - 5000
327	NCT04369807	MAPPING ORGAN HEALTH FOLLOWING COVID-19 DISEASE DUE TO SARS-COV-2 INFECTION	MAYO CLINIC HEALTHCARE, LONDON, UNITED KINGDOM|GEMINI, OXFORD, UNITED KINGDOM	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		507.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04369807	UNITED KINGDOM	OXFORD	MAYO CLINIC HEALTHCARE	2020-04-01	2023-05-01	2020-04-01	2020-04-01	INDUSTRY	OBSERVATIONAL	1125.0	37.0	2 - 5 years	501 - 1000
328	NCT04458298	A STUDY TO EVALUATE OP-101 (DENDRIMER N-ACETYL-CYSTEINE) IN SEVERE CORONAVIRUS DISEASE 2019 (COVID-19) PATIENTS	RESEARCH SITE, LOMA LINDA, CALIFORNIA, UNITED STATES|RESEARCH SITE, FORT LAUDERDALE, FLORIDA, UNITED STATES|RESEARCH SITE, ATLANTA, GEORGIA, UNITED STATES|RESEARCH SITE, BALTIMORE, MARYLAND, UNITED STATES|RESEARCH SITE, HOUSTON, TEXAS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	24.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04458298	UNITED STATES OF AMERICA	TEXAS	RESEARCH SITE	2020-07-01	2020-11-01	2020-07-01	2020-08-01	INDUSTRY	INTERVENTIONAL	123.0	4.0	4 - 6 months	11 - 50
329	NCT04375124	TREATMENT OF ANGIOTENSIN PEPTIDE (1-7) FOR COVID-19	KANUNI SULTAN SULEYMAN TRAINING AND RESEARCH HOSPITAL, ISTANBUL, TURKEY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	20.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04375124	TURKEY	ISTANBUL	KANUNI SULTAN SULEYMAN TRAINING AND RESEARCH HOSPITAL	2020-04-01	2020-09-01	2020-05-01	2020-05-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	11 - 50
330	NCT04509999	BICALUTAMIDE TO BLOCK TMPRSS2 IN MALES WITH COVID-19 INFECTION	UNIVERSITY OF FLORIDA CLININCAL RESEARCH VEHICLE, GAINESVILLE, FLORIDA, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	MALE	ADULT, OLDER ADULT	PHASE 3	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04509999	UNITED STATES OF AMERICA	FLORIDA	UNIVERSITY OF FLORIDA CLININCAL RESEARCH VEHICLE	2020-10-01	2022-09-01	2020-08-01	2020-10-01	OTHER	INTERVENTIONAL	700.0	23.0	1 - 2 years	51 - 100
331	NCT04381351	NONCODING RNAS IN COVID-19 AND COVID-19 RELATED KIDNEY DYSFUNCTION	KLINIK FÜR ANÄSTHESIOLOGIE, DÜSSELDORF, GERMANY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04381351	GERMANY	DÜSSELDORF	KLINIK FÜR ANÄSTHESIOLOGIE	2020-04-01	2021-07-01	2020-05-01	2020-05-01	OTHER	OBSERVATIONAL	456.0	15.0	1 - 2 years	11 - 50
332	NCT04412785	CYCLOSPORINE IN PATIENTS WITH MODERATE COVID-19	UNIVERSITY OF PENNSYLVANIA, PHILADELPHIA, PENNSYLVANIA, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 1	20.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04412785	UNITED STATES OF AMERICA	PENNSYLVANIA	UNIVERSITY OF PENNSYLVANIA	2020-06-01	2021-12-01	2020-06-01	2020-10-01	OTHER	INTERVENTIONAL	548.0	18.0	1 - 2 years	11 - 50
333	NCT04398303	ACT-20 IN PATIENTS WITH SEVERE COVID-19 PNEUMONIA		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19 PNEUMONIA	ALL	ADULT, OLDER ADULT	PHASE 1|PHASE 2	70.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04398303	NAN	NAN	NAN	2020-05-01	2020-10-01	2020-05-01	2020-05-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	51 - 100
334	NCT04377789	EFFECT OF QUERCETIN ON PROPHYLAXIS AND TREATMENT OF COVID-19	KANUNI SULTAN SULEYMAN TRAINING AND RESEARCH HOSPITAL, ISTANBUL, TURKEY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04377789	TURKEY	ISTANBUL	KANUNI SULTAN SULEYMAN TRAINING AND RESEARCH HOSPITAL	2020-03-01	2020-08-01	2020-05-01	2020-05-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	11 - 50
335	NCT04459819	RESPIRATORY PHYSIOTHERAPY IN SEVERE COVID-19 PATIENTS	DEPARTMENT OF PATHOPHYSIOLOGY AND TRANSPLANTATION, UNIVERSITY OF MILAN INTERNAL MEDICINE DEPARTMENT, RESPIRATORY UNIT AND CYSTIC FIBROSIS ADULT CENTER, FONDAZIONE IRCCS CA' GRANDA OSPEDALE MAGGIORE POLICLINICO, MILAN, ITALY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		80.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04459819	ITALY	MILAN	DEPARTMENT OF PATHOPHYSIOLOGY AND TRANSPLANTATION	2020-03-01	2020-09-01	2020-07-01	2020-08-01	OTHER	OBSERVATIONAL	184.0	6.0	4 - 6 months	51 - 100
336	NCT04443725	EFFICACY AND SAFETY OF ANTI HCV DRUGS IN THE TREATMENT OF COVID-19		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04443725	NAN	NAN	NAN	2020-07-01	2020-12-01	2020-06-01	2020-06-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	51 - 100
337	NCT04575610	IRAK4 INHIBITION IN TREATMENT OF COVID-19 WITH ARDS (I-RAMIC)	YALE NEW HAVEN HOSPITAL, NEW HAVEN, CONNECTICUT, UNITED STATES	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	68.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04575610	UNITED STATES OF AMERICA	CONNECTICUT	YALE NEW HAVEN HOSPITAL	2020-10-01	2021-03-01	2020-10-01	2020-10-01	OTHER|INDUSTRY	INTERVENTIONAL	151.0	5.0	4 - 6 months	51 - 100
338	NCT04383002	HIGH DOSE INHALED NITRIC OXIDE FOR COVID-19 (ICU PATIENTS)	UNIVERSITY HEALTH NETWORK, TORONTO GENERAL HOSPITAL, TORONTO, ONTARIO, CANADA	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 1	20.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04383002	CANADA	ONTARIO	UNIVERSITY HEALTH NETWORK	2020-09-01	2020-12-01	2020-05-01	2020-09-01	OTHER	INTERVENTIONAL	91.0	3.0	1 - 3 months	11 - 50
339	NCT04453891	HEXOSKIN FEASIBILITY STUDY WITH COVID-19 PATIENTS		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		16.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04453891	NAN	NAN	NAN	2020-07-01	2020-12-01	2020-07-01	2020-07-01	INDUSTRY	OBSERVATIONAL	153.0	5.0	4 - 6 months	11 - 50
340	NCT04376398	SURVEY: COVID-19 PATIENTS MANAGED IN THE OPERATING THEATRE OF BELGIAN HOSPITALS	CLINIQUES UNIVERSITAIRES SAINT LUC, BRUSSELS, BELGIUM	COMPLETED	NO RESULTS AVAILABLE	COVID-19	ALL	CHILD, ADULT, OLDER ADULT		200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04376398	BELGIUM	BRUSSELS	CLINIQUES UNIVERSITAIRES SAINT LUC	2020-04-01	2020-08-01	2020-05-01	2020-11-01	OTHER	OBSERVATIONAL	122.0	4.0	4 - 6 months	101 - 200
341	NCT04327674	THE USE OF FOCUSED LUNG ULTRASOUND IN PATIENTS SUSPECTED OF COVID-19	LUNGEMEDICINSK FORSKNINGSAFDELING. AARHUS UNIVERSITY HOSPITAL, AARHUS, DENMARK|REGIONSHOSPITALET HORSENS., HORSENS, DENMARK	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		375.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04327674	DENMARK	HORSENS	LUNGEMEDICINSK FORSKNINGSAFDELING. AARHUS UNIVERSITY HOSPITAL	2020-03-01	2020-05-01	2020-03-01	2020-03-01	OTHER	OBSERVATIONAL	61.0	2.0	1 - 3 months	201 - 500
342	NCT04521088	EPIDEMIOLOGICAL ANALYSIS OF AMBULANT PATIENTS IN A COVID-19 OUTPATIENT CLINIC	INSTITUT FÜR PNEUMOLOGIE AN DER UNIVERSITÄT ZU KÖLN / WISSENSCHAFTLICHES INSTITUT BETHANIEN FÜR PNEUMOLOGIE E.V., SOLINGEN, NORDRHEIN-WESTFALEN, GERMANY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL			1000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04521088	GERMANY	NORDRHEIN-WESTFALEN	INSTITUT FÜR PNEUMOLOGIE AN DER UNIVERSITÄT ZU KÖLN / WISSENSCHAFTLICHES INSTITUT BETHANIEN FÜR PNEUMOLOGIE E.V.	2020-07-01	2020-12-01	2020-08-01	2020-08-01	OTHER	OBSERVATIONAL	153.0	5.0	4 - 6 months	501 - 1000
343	NCT04573764	ACUTE EFFECTS OF ORAL KETONE ESTER ON CARDIAC FUNCTION IN PATIENTS WITH COVID-19		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	12.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04573764	NAN	NAN	NAN	2020-10-01	2022-01-01	2020-10-01	2020-10-01	OTHER	INTERVENTIONAL	457.0	15.0	1 - 2 years	11 - 50
344	NCT04361981	INFLUENCE OF COVID-19 INFECTION IN THROMBOEMBOLIC VENOUS DISEASE: NATIONAL COHORT STUDY	RED DE INVESTIGACION VASCULAR (SEACV), MADRID, SPAIN	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL			50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04361981	SPAIN	MADRID	RED DE INVESTIGACION VASCULAR (SEACV)	2020-04-01	2020-12-01	2020-04-01	2020-04-01	OTHER	OBSERVATIONAL	244.0	8.0	7 - 12 months	11 - 50
345	NCT04370223	OZONE AUTO-HEMOTHERAPY FOR COVID-19 PNEUMONIA	HOSPITAL UNIVERSITARI DR JOSEP TRUETA, GIRONA, SPAIN|CLINICA NUESTRA SEÑORA DEL ROSARIO, IBIZA, SPAIN|HOSPITAL QUIRÓN REY JUAN CARLOS I, MADRID, SPAIN|HOSPITAL UNIVERSITARIO 12 DE OCTUBRE, MADRID, SPAIN|HOSPITAL UNIVERSITARIO INFANTA LEONOR, MADRID, SPAIN|HOSPITAL UNIVERSITARIO PRÍNCIPE DE ASTURIAS DE ALCALÁ DE HENARES, MADRID, SPAIN|FUNDACIÓ ALTHAIA DE MANRESA, MANRESA, SPAIN|HOSPITAL VITHAS VALENCIA CONSUELO, VALENCIA, SPAIN|HOSPITAL CLÍNICO UNIVERSITARIO DE VALLADOLID, VALLADOLID, SPAIN|CLINICA CLARO, VIGO, SPAIN	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19 PNEUMONIA	ALL	ADULT, OLDER ADULT	PHASE 3	208.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04370223	SPAIN	VIGO	HOSPITAL UNIVERSITARI DR JOSEP TRUETA	2020-05-01	2020-12-01	2020-04-01	2020-06-01	OTHER	INTERVENTIONAL	214.0	7.0	7 - 12 months	201 - 500
346	NCT04424797	PRONE POSITIONING ON ADMISSION FOR HOSPITALIZED COVID-19 PNEUMONIA PROTOCOL	UCHEALTH POUDRE VALLEY HOSPITAL, FORT COLLINS, COLORADO, UNITED STATES|UCHEALTH GREELEY HOSPITAL, GREELEY, COLORADO, UNITED STATES|UCHEALTH MEDICAL CENTER OF THE ROCKIES, LOVELAND, COLORADO, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04424797	UNITED STATES OF AMERICA	COLORADO	UCHEALTH POUDRE VALLEY HOSPITAL	2020-07-01	2020-12-01	2020-06-01	2020-07-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	51 - 100
347	NCT04451889	PROBE-BASED CONFOCAL LASER ENDOMICROSCOPY IN CRITICALLY ILL COVID-19 PATIENTS	FEDERAL RESEARCH CLINICAL CENTER FMBA RUSSIA, MOSCOW, RUSSIAN FEDERATION	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	15.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04451889	RUSSIA	MOSCOW	FEDERAL RESEARCH CLINICAL CENTER FMBA RUSSIA	2020-08-01	2021-09-01	2020-06-01	2020-07-01	OTHER	INTERVENTIONAL	396.0	13.0	1 - 2 years	11 - 50
348	NCT04561193	INVESTIGATION OF SUBSEQUENT AND CO-INFECTIONS ASSOCIATED WITH SARS-COV-2 (COVID-19)	METHODIST DALLAS MEDICAL CENTER, DALLAS, TEXAS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04561193	UNITED STATES OF AMERICA	TEXAS	METHODIST DALLAS MEDICAL CENTER	2020-05-01	2021-05-01	2020-09-01	2020-09-01	OTHER	OBSERVATIONAL	365.0	12.0	7 - 12 months	101 - 200
349	NCT04446377	A STUDY OF LAM-002A FOR THE PREVENTION OF PROGRESSION OF COVID-19	YALE UNIVERSITY, NEW HAVEN, CONNECTICUT, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19 DISEASE	ALL	ADULT, OLDER ADULT	PHASE 2	142.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04446377	UNITED STATES OF AMERICA	CONNECTICUT	YALE UNIVERSITY	2020-07-01	2021-04-01	2020-06-01	2020-11-01	INDUSTRY|OTHER	INTERVENTIONAL	274.0	9.0	7 - 12 months	101 - 200
350	NCT04366050	RAMIPRIL FOR THE TREATMENT OF COVID-19	UNIVERSITY OF CALIFORNIA, SAN DIEGO, LA JOLLA, CALIFORNIA, UNITED STATES	ENROLLING BY INVITATION	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	560.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04366050	UNITED STATES OF AMERICA	CALIFORNIA	UNIVERSITY OF CALIFORNIA	2020-05-01	2021-05-01	2020-04-01	2020-07-01	OTHER|INDUSTRY	INTERVENTIONAL	365.0	12.0	7 - 12 months	501 - 1000
351	NCT04368065	REGISTRY TO STUDY FACTORS THAT MAY IMPACT COVID-19 OCCURRENCE AND SEVERITY	IQVIA, CAMBRIDGE, MASSACHUSETTS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		100000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04368065	UNITED STATES OF AMERICA	MASSACHUSETTS	IQVIA	2020-04-01	2022-06-01	2020-04-01	2020-04-01	INDUSTRY	OBSERVATIONAL	791.0	26.0	2 - 5 years	over 10000
352	NCT04435041	REMOTE-BY-DEFAULT CARE IN THE COVID-19 PANDEMIC	UNIVERSITY OF OXFORD, OXFORD, UNITED KINGDOM	ACTIVE, NOT RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL			1.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04435041	UNITED KINGDOM	OXFORD	UNIVERSITY OF OXFORD	2020-06-01	2021-11-01	2020-06-01	2020-06-01	OTHER	OBSERVATIONAL	518.0	17.0	1 - 2 years	less then 10
353	NCT04604327	COMPARISON OF TWO DIFFERENT DOSES OF BEMIPARIN IN COVID-19	HOSPITAL REY JUAN CARLOS, MÓSTOLES, MADRID, SPAIN|CLINICA UNIVERSIDAD DE NAVARRA, PAMPLONA, NAVARRA, SPAIN|HOSPITAL CLINIC, BARCELONA, SPAIN|HOSPITAL SANT PAU, BARCELONA, SPAIN|HOSPITAL UNIVERSITARIO BELLVITGE, L'HOSPITALET DE LLOBREGAT, SPAIN|FUNDACIÓN JIMÉNEZ DÍAZ, MADRID, SPAIN|HOSPITAL CLÍNICO SAN CARLOS, MADRID, SPAIN|HOSPITAL UNIVERSITARIO LA PAZ, MADRID, SPAIN|COMPLEJO HOSPITALARIO DE NAVARRA, PAMPLONA, SPAIN|HOSPITAL UNIVERSITARIO DE SALAMANCA, SALAMANCA, SPAIN|COMPLEJO HOSPITALARIO DE TOLEDO, TOLEDO, SPAIN|HOSPITAL UNIVERSITARIO RÍO HORTEGA, VALLADOLID, SPAIN	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	164.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04604327	SPAIN	VALLADOLID	HOSPITAL REY JUAN CARLOS	2020-10-01	2021-07-01	2020-10-01	2020-10-01	OTHER	INTERVENTIONAL	273.0	9.0	7 - 12 months	101 - 200
354	NCT04444271	MESENCHYMAL STEM CELL INFUSION FOR COVID-19 INFECTION	NIBMT, RAWALPINDI, PUNJAB, PAKISTAN	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	CHILD, ADULT, OLDER ADULT	PHASE 2	20.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04444271	PAKISTAN	PUNJAB	NIBMT	2020-05-01	2020-09-01	2020-06-01	2020-06-01	OTHER	INTERVENTIONAL	123.0	4.0	4 - 6 months	11 - 50
355	NCT04341675	SIROLIMUS TREATMENT IN HOSPITALIZED PATIENTS WITH COVID-19 PNEUMONIA	LOYOLA UNIVERSITY MEDICAL CENTER, CHICAGO, ILLINOIS, UNITED STATES|UNIVERSITY OF CINCINNATI, CINCINNATI, OHIO, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	30.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04341675	UNITED STATES OF AMERICA	OHIO	LOYOLA UNIVERSITY MEDICAL CENTER	2020-04-01	2020-09-01	2020-04-01	2020-05-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	11 - 50
356	NCT04472013	SYSTEMATIC ASSESSMENT OF SARS-COV-2 NEUROTROPIC CAPACITY IN MODESTLY AND CRITICALLY ILL PATIENTS, AND PATIENTS WHO DIED FROM COVID-19	NEUROSURGERY, UNIVERSITY HOSPITAL BASEL, BASEL, SWITZERLAND|KANTONSSPITAL BASELLAND LIESTAL, LIESTAL, SWITZERLAND	RECRUITING	NO RESULTS AVAILABLE	COVID-19 DISEASE	ALL	ADULT, OLDER ADULT		40.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04472013	SWITZERLAND	LIESTAL	NEUROSURGERY	2020-08-01	2022-12-01	2020-07-01	2020-10-01	OTHER	OBSERVATIONAL	852.0	28.0	2 - 5 years	11 - 50
357	NCT04451174	EARLY USE OF CORTICOSTEROIDS IN NON-CRITICAL PATIENTS WITH COVID-19 PNEUMONIA	HOSPITAL SANTIAGO ORIENTE, SANTIAGO, PEÑALOLEN, CHILE	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	184.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04451174	CHILE	PEÑALOLEN	HOSPITAL SANTIAGO ORIENTE	2020-06-01	2020-12-01	2020-06-01	2020-10-01	OTHER	INTERVENTIONAL	183.0	6.0	4 - 6 months	101 - 200
358	NCT04394416	TRIAL OF IMATINIB FOR HOSPITALIZED ADULTS WITH COVID-19	UNIVERSITY OF MARYLAND MEDICAL CENTER, BALTIMORE, MARYLAND, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	204.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04394416	UNITED STATES OF AMERICA	MARYLAND	UNIVERSITY OF MARYLAND MEDICAL CENTER	2020-06-01	2023-06-01	2020-05-01	2020-06-01	OTHER	INTERVENTIONAL	1095.0	36.0	2 - 5 years	201 - 500
359	NCT04329923	THE PATCH TRIAL (PREVENTION AND TREATMENT OF COVID-19 WITH HYDROXYCHLOROQUINE)	UNIVERSITY OF PENNSYLVANIA, PHILADELPHIA, PENNSYLVANIA, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	400.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04329923	UNITED STATES OF AMERICA	PENNSYLVANIA	UNIVERSITY OF PENNSYLVANIA	2020-04-01	2021-12-01	2020-04-01	2020-04-01	OTHER	INTERVENTIONAL	609.0	20.0	1 - 2 years	201 - 500
360	NCT04397757	COVID-19 CONVALESCENT PLASMA FOR THE TREATMENT OF HOSPITALIZED PATIENTS WITH PNEUMONIA CAUSED BY SARS-COV-2.	HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA, PHILADELPHIA, PENNSYLVANIA, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 1	80.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04397757	UNITED STATES OF AMERICA	PENNSYLVANIA	HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA	2020-05-01	2021-03-01	2020-05-01	2020-09-01	OTHER	INTERVENTIONAL	304.0	10.0	7 - 12 months	51 - 100
361	NCT04361643	LOW-DOSE LENALIDOMIDE FOR NON-SEVERE COVID-19 TREATMENT TRIAL	HOSPITAL UNIVERSITARIO DE GETAFE, GETAFE, SPAIN	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 4	120.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04361643	SPAIN	GETAFE	HOSPITAL UNIVERSITARIO DE GETAFE	2020-10-01	2021-12-01	2020-04-01	2020-07-01	OTHER	INTERVENTIONAL	426.0	14.0	1 - 2 years	101 - 200
362	NCT04455243	INFLAMMATORY REGULATION EFFECT OF NAC ON COVID-19 TREATMENT		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	1180.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04455243	NAN	NAN	NAN	2020-08-01	2021-08-01	2020-07-01	2020-07-01	OTHER	INTERVENTIONAL	365.0	12.0	7 - 12 months	1001 - 5000
363	NCT04463602	DESIDUSTAT IN THE MANAGEMENT OF COVID-19 PATIENTS	AVANT SANTE SITE 1, MONTERREY, MEXICO	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	24.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04463602	MEXICO	MONTERREY	AVANT SANTE SITE 1	2020-07-01	2021-01-01	2020-07-01	2020-08-01	INDUSTRY	INTERVENTIONAL	184.0	6.0	4 - 6 months	11 - 50
364	NCT04318418	ACE INHIBITORS, ANGIOTENSIN II TYPE-I RECEPTOR BLOCKERS AND SEVERITY OF COVID-19	IRCCS NEUROMED, DEPARTMENT OF EPIDEMIOLOGY AND PREVENTION, POZZILLI, ITALY	COMPLETED	NO RESULTS AVAILABLE	COVID-19	ALL			3400.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04318418	ITALY	POZZILLI	IRCCS NEUROMED	2020-03-01	2020-06-01	2020-03-01	2020-09-01	OTHER	OBSERVATIONAL	92.0	3.0	1 - 3 months	1001 - 5000
